Question,Option1,Option2,Option3,Option4,Answer
Which if the following is/are the levels of implementation of data structure ?,Abstract level,Application level,Implementation level,All of the above,All of the above
A binary search tree whose left subtree and right subtree differ in hight by at most 1 unit is called ?,AVL tree,Red-black tree,Lemma tree,None of the above,AVL tree
What is the time complexity of inserting an element at the end of an array?,O(1),O(nlogn),O(log n),O(n),O(1)
Which data structure is best suited for implementing a recursive algorithm?,Stack,Queue,Array,Linked List,Stack
"In a binary search tree, which traversal visits the nodes in ascending order?",Preorder,Inorder,Postorder,Levelorder,Inorder
Which sorting algorithm has the best average-case time complexity?,Merge Sort,Selection sort,Insertion Sort,Bubble sort,Merge Sort
What is the worst-case time complexity of quicksort?,O(n),O(nlogn),O(n^2),O(log n),O(n^2)
Which data structure is used in Depth First Search (DFS) algorithm?,Queue,Stack,Heap,Linked List,Stack
What is the purpose of a hash table in data structures?,To store data in a sorted manner,To implement priority queues,To provide constant-time access to elements,To sort elements efficiently,To provide constant-time access to elements
Which data structure is used to implement a LIFO behavior?,Queue,Stack,Heap,Tree,Queue
What is the time complexity of finding an element in a binary search tree?,O(n),O(nlogn),O(log n),O(n^2),O(log n)
Which data structure is suitable for implementing a breadth-first search (BFS) algorithm?,Queue,Stack,LinkedList,Heap,Queue
Which data structure is typically used to implement a priority queue?,Heap,Stack,Queue,LinkedList,Heap
What is the time complexity of searching for an element in a hash table with a good hash function?,O(n),O(nlogn),O(n^2),O(1),O(1)
Which sorting algorithm is known for its stability?,Merge Sort,Selection sort,Quick Sort,Insertion Sort,Merge Sort
"In a binary search tree, which operation is used to find the minimum element?",findMin(),getMin(),minElement(),minValue(),findMin()
Which data structure is used to implement a disjoint-set data structure efficiently?,Array ,Heap,Disjoint-Set Forest,Linked List,Disjoint-Set Forest
What is the time complexity of finding the shortest path in a weighted graph using Dijkstra's algorithm?,O(E log V),O( E ),O(V),O(V log V),O(E log V)
Which data structure is used to implement a cache with a least recently used (LRU) eviction policy?,Queue,Stack,LinkedList,Hash Table,Linked List
What is the time complexity of inserting an element in a heap data structure?,O(n),O(nlogn),O(1),O(log n),O(log n)
Which algorithm is used to find the strongly connected components in a directed graph?,Dijkstra's Algorithm,Prim's Algorithm,Bellman-Ford Algorithm,Tarjan's Algorithm,Tarjan's Algorithm
What is the time complexity of the best-case scenario for quicksort?,O(n),O(nlogn),O(n^2),O(log n),O(nlog n)
Worst Case Time complexity of accessing an element from a Linked List,O(n),O(nlogn),O(n^2),O(log n),O(n)
Which of the following is not a fundamental data type in C?,int ,String,double,float,String
